,edge,edge_text,variables,variables_text
10,((to/Mi/en push/Pd.sor.-i-----/en) russia/Cp.s/en syria/Cp.s/en ((to/Mi/en put/P.ox.-i-----/en) (+/B.am/. chemical/Cp.s/en weapons/Cp.p/en) (under/T/en (+/B.am/. international/Cp.s/en control/Cp.s/en)))),Russia To Push Syria To Put Chemical Weapons Under International Control,"[{'PRED': [['to/Mi/en'], ['push/Pd.sor.-i-----/en']], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['syria/Cp.s/en']}]","[{'PRED': 'to push', 'SOURCE': 'Russia', 'TARGET': 'Syria'}]"
11,((to/Mi/en push/Pd.sor.-i-----/en) russia/Cp.s/en syria/Cp.s/en ((to/Mi/en surrender/P.o.-i-----/en) (chemical/M/en weapons/Cc.p/en))),Russia to push Syria to surrender chemical weapons,"[{'PRED': [['to/Mi/en'], ['push/Pd.sor.-i-----/en']], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['syria/Cp.s/en']}]","[{'PRED': 'to push', 'SOURCE': 'Russia', 'TARGET': 'Syria'}]"
12,((to/Mi/en sue/P.soo.-i-----/en) russia/Cp.s/en ukraine/Cp.s/en ((over/M/en ($/M/en (3/M#/en billion/M#/en))) (+/B.am/. debt/Cc.s/en default/Cc.s/en))),Russia to sue Ukraine over $3 billion debt default,"[{'PRED': [['to/Mi/en'], ['sue/P.soo.-i-----/en']], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['ukraine/Cp.s/en']}]","[{'PRED': 'to sue', 'SOURCE': 'Russia', 'TARGET': 'Ukraine'}]"
13,((to/Mi/en sue/Pd.soxo.-i-----/en) russia/Cp.s/en ukraine/Cp.s/en (if/Tt/en ((is/Mv.|f--3s-/en (not/Mn/en repaid/Pd.px.<pf----/en)) debt/Cc.s/en (by/Tt/en (20/M#/en december/Cp.s/en)))) (’s/Bp.am/en russia/Cp.s/en (+/B.am/. finance/Cc.s/en ministry/Cc.s/en))),Russia to sue Ukraine if debt is not repaid by December 20 — Russia ’s finance ministry,"[{'PRED': [['to/Mi/en'], ['sue/Pd.soxo.-i-----/en']], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['ukraine/Cp.s/en'], 'TOPIC': [[['is/Mv.|f--3s-/en'], [['not/Mn/en'], ['repaid/Pd.px.<pf----/en']]], ['debt/Cc.s/en'], [['by/Tt/en'], [['20/M#/en'], ['december/Cp.s/en']]]]}]","[{'PRED': 'to sue', 'SOURCE': 'Russia', 'TARGET': 'Ukraine', 'TOPIC': 'debt is not repaid by December 20'}]"
14,((will/Mm/en (not/Mn/en invade/P.so.-i-----/en)) russia/Cp.s/en ukraine/Cp.s/en),Russia will not invade Ukraine,"[{'PRED': [['will/Mm/en'], [['not/Mn/en'], ['invade/P.so.-i-----/en']]], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['ukraine/Cp.s/en']}]","[{'PRED': 'will not invade', 'SOURCE': 'Russia', 'TARGET': 'Ukraine'}]"
15,((will/Mm/en attack/P.sox.-i-----/en) israel/Cp.s/en iran/Cp.s/en (if/T/en (sign/Pd.so.|f-----/en you/Ci/en (the/Md/en deal/Cc.s/en)))),Israel will attack Iran if you sign the deal,"[{'PRED': [['will/Mm/en'], ['attack/P.sox.-i-----/en']], 'SOURCE': ['israel/Cp.s/en'], 'TARGET': ['iran/Cp.s/en'], 'TOPIC': [['sign/Pd.so.|f-----/en'], ['you/Ci/en'], [['the/Md/en'], ['deal/Cc.s/en']]]}]","[{'PRED': 'Will Attack', 'SOURCE': 'Israel', 'TARGET': 'Iran', 'TOPIC': 'you sign the deal'}]"
16,((wo/Mm/en (n’t/Mn/en attack/P.sox.-i-----/en)) france/Cp.s/en syria/Cp.s/en (if/T/en ((n’t/Mn/en does/Pd.s.|f--3s-/en) u%2es%2e/Cp.s/en))),France won’t attack Syria if U.S. doesn’t,"[{'PRED': [['wo/Mm/en'], [['n’t/Mn/en'], ['attack/P.sox.-i-----/en']]], 'SOURCE': ['france/Cp.s/en'], 'TARGET': ['syria/Cp.s/en'], 'TOPIC': [[['n’t/Mn/en'], ['does/Pd.s.|f--3s-/en']], ['u%2es%2e/Cp.s/en']]}]","[{'PRED': 'won’t attack', 'SOURCE': 'France', 'TARGET': 'Syria', 'TOPIC': 'U.S. doesn’t'}]"
17,(accused/P.sor.<f-----/en india/Cp.s/en pakistan/Cp.s/en ((only/M/en (to/Mi/en defame/P.o.-i-----/en)) it/Ci/en)),India accused Pakistan only to defame it,"[{'PRED': ['accused/P.sor.<f-----/en'], 'SOURCE': ['india/Cp.s/en'], 'TARGET': ['pakistan/Cp.s/en']}]","[{'PRED': 'accused', 'SOURCE': 'India', 'TARGET': 'Pakistan'}]"
18,(accuses/Pd.so.|f--3s-/en pakistan/Cp.s/en india/Cp.s/en),Pakistan accuses India,"[{'PRED': ['accuses/Pd.so.|f--3s-/en'], 'SOURCE': ['pakistan/Cp.s/en'], 'TARGET': ['india/Cp.s/en']}]","[{'PRED': 'accuses', 'SOURCE': 'Pakistan', 'TARGET': 'India'}]"
19,"(accuses/Pd.soo.|f--3s-/en russia/Cp.s/en (of/Br.ma/en west/Cp.s/en (over/Br.ma/en (+/B.am/. new/Cp.s/en (+/B.am/. cold/Cp.s/en war/Cp.s/en)) (,/Mj/en syria/Cp.s/en))) ukraine/Cp.s/en)","Russia Accuses West of 'New Cold War' over Syria, Ukraine","[{'PRED': ['accuses/Pd.soo.|f--3s-/en'], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['ukraine/Cp.s/en']}]","[{'PRED': 'accuses', 'SOURCE': 'Russia', 'TARGET': 'Ukraine'}]"
20,(accuses/Pd.soxx.|f--3s-/en britain/Cp.s/en spain/Cp.s/en (of/T/en (violating/P.o.|pg----/en (+/B.am/. gibraltar/Cp.s/en sovereignty/Cc.s/en))) (after/T/en (chase/Pd.s.|f-----/en drugs/Cc.p/en))),Britain accuses Spain of violating Gibraltar sovereignty after drugs chase,"[{'PRED': ['accuses/Pd.soxx.|f--3s-/en'], 'SOURCE': ['britain/Cp.s/en'], 'TARGET': ['spain/Cp.s/en'], 'TOPIC': [['chase/Pd.s.|f-----/en'], ['drugs/Cc.p/en']]}]","[{'PRED': 'accuses', 'SOURCE': 'Britain', 'TARGET': 'Spain', 'TOPIC': 'drugs chase'}]"
21,(accuses/Pd.soxx.|f--3s-/en germany/Cp.s/en russia/Cp.s/en (of/T/en (on/Br.ma/en (cyber/Ma/en attack/Cc.s/en) (ukraine/Ma/en (+/B.am/. peace/Cc.s/en monitors/Cc.p/en)))) (as/T/en (dismisses/Pd.sox.|f--3s-/en kremlin/Cp.s/en (+/B.am/. (+/B.am/. us/Cp.s/en intelligence/Cc.s/en) claims/Cc.p/en) (as/T/en (a/Md/en (+/B.am/. witch/Cc.s/en hunt/Cc.s/en)))))),"Germany accuses Russia of cyber attack on Ukraine peace monitors, as Kremlin dismisses US intelligence claims as a witch hunt","[{'PRED': ['accuses/Pd.soxx.|f--3s-/en'], 'SOURCE': ['germany/Cp.s/en'], 'TARGET': ['russia/Cp.s/en'], 'TOPIC': [['dismisses/Pd.sox.|f--3s-/en'], ['kremlin/Cp.s/en'], [['+/B.am/.'], [['+/B.am/.'], ['us/Cp.s/en'], ['intelligence/Cc.s/en']], ['claims/Cc.p/en']], [['as/T/en'], [['a/Md/en'], [['+/B.am/.'], ['witch/Cc.s/en'], ['hunt/Cc.s/en']]]]]}]","[{'PRED': 'accuses', 'SOURCE': 'Germany', 'TARGET': 'Russia', 'TOPIC': 'Kremlin dismisses US intelligence claims as a witch hunt'}]"
22,(accuses/Pd.soxx.|f--3s-/en nepal/Cp.s/en india/Cp.s/en (of/T/en (an/Md/en (economic/Ma/en blockade/Cc.s/en))) (as/T/en ((up/Ml/en freezes/Pd.s.|f--3s-/en) (+/B.am/. border/Cc.s/en trade/Cc.s/en)))),Nepal accuses India of an economic blockade as border trade freezes up,"[{'PRED': ['accuses/Pd.soxx.|f--3s-/en'], 'SOURCE': ['nepal/Cp.s/en'], 'TARGET': ['india/Cp.s/en'], 'TOPIC': [[['up/Ml/en'], ['freezes/Pd.s.|f--3s-/en']], [['+/B.am/.'], ['border/Cc.s/en'], ['trade/Cc.s/en']]]}]","[{'PRED': 'accuses', 'SOURCE': 'Nepal', 'TARGET': 'India', 'TOPIC': 'border trade freezes up'}]"
23,(accuses/Pd.soxx.|f--3s-/en ukraine/Cp.s/en russia/Cp.s/en (of/T/en (armed/Ma/en invasion/Cc.s/en)) (after/T/en (blockaded/Pd.s.<f-----/en (+/B.am/. crimea/Cp.s/en airports/Cc.p/en)))),Ukraine accuses Russia of 'armed invasion' after Crimea airports blockaded,"[{'PRED': ['accuses/Pd.soxx.|f--3s-/en'], 'SOURCE': ['ukraine/Cp.s/en'], 'TARGET': ['russia/Cp.s/en'], 'TOPIC': [['blockaded/Pd.s.<f-----/en'], [['+/B.am/.'], ['crimea/Cp.s/en'], ['airports/Cc.p/en']]]}]","[{'PRED': 'accuses', 'SOURCE': 'Ukraine', 'TARGET': 'Russia', 'TOPIC': 'Crimea airports blockaded'}]"
24,(accuses/Pd.soxx.|f--3s-/en ukraine/Cp.s/en russia/Cp.s/en (of/T/en (direct/Ma/en invasion/Cc.s/en)) (as/T/en (crosses/Pd.so.|f--3s-/en (+/B.am/. aid/Cc.s/en convoy/Cc.s/en) border/Cc.s/en))),"Ukraine accuses Russia of ""direct invasion"" as aid convoy crosses border","[{'PRED': ['accuses/Pd.soxx.|f--3s-/en'], 'SOURCE': ['ukraine/Cp.s/en'], 'TARGET': ['russia/Cp.s/en'], 'TOPIC': [['crosses/Pd.so.|f--3s-/en'], [['+/B.am/.'], ['aid/Cc.s/en'], ['convoy/Cc.s/en']], ['border/Cc.s/en']]}]","[{'PRED': 'accuses', 'SOURCE': 'Ukraine', 'TARGET': 'Russia', 'TOPIC': 'aid convoy crosses border'}]"
25,(accuses/Pd.soxx.|f--3s-/en ukraine/Cp.s/en russia/Cp.s/en (of/T/en (on/Br.ma/en (+/B.am/. artillery/Cc.s/en attack/Cc.s/en) (its/Mp/en navy/Cc.s/en))) (as/T/en (says/Pd.sor.|f--3s-/en ('s/Bp.am/en moscow/Cp.s/en (foreign/Ma/en minister/Cc.s/en)) (needed/P.o.<pf----/en (immediate/Ma/en ceasefire/Cc.s/en)) ((would/Mm/en consolidate/P.so.-i-----/en) which/C/en (+/B.am/. kremlin/Cp.s/en gains/Cc.p/en))))),Ukraine accuses Russia of artillery attack on its navy as Moscow's foreign minister says 'immediate ceasefire needed' – which would consolidate Kremlin gains,"[{'PRED': ['accuses/Pd.soxx.|f--3s-/en'], 'SOURCE': ['ukraine/Cp.s/en'], 'TARGET': ['russia/Cp.s/en'], 'TOPIC': [['says/Pd.sor.|f--3s-/en'], [[""'s/Bp.am/en""], ['moscow/Cp.s/en'], [['foreign/Ma/en'], ['minister/Cc.s/en']]], [['needed/P.o.<pf----/en'], [['immediate/Ma/en'], ['ceasefire/Cc.s/en']]], [[['would/Mm/en'], ['consolidate/P.so.-i-----/en']], ['which/C/en'], [['+/B.am/.'], ['kremlin/Cp.s/en'], ['gains/Cc.p/en']]]]}]","[{'PRED': 'accuses', 'SOURCE': 'Ukraine', 'TARGET': 'Russia', 'TOPIC': ""Moscow's foreign minister says 'immediate ceasefire needed' – which would consolidate Kremlin gains""}]"
26,(accuses/Pd.soxx.|f--3s-/en ukraine/Cp.s/en russia/Cp.s/en (of/T/en (open/Ma/en aggression/Cc.s/en)) (as/T/en (advance/Pd.s.|f-----/en rebels/Cc.p/en))),Ukraine accuses Russia of 'open aggression' as rebels advance,"[{'PRED': ['accuses/Pd.soxx.|f--3s-/en'], 'SOURCE': ['ukraine/Cp.s/en'], 'TARGET': ['russia/Cp.s/en'], 'TOPIC': [['advance/Pd.s.|f-----/en'], ['rebels/Cc.p/en']]}]","[{'PRED': 'accuses', 'SOURCE': 'Ukraine', 'TARGET': 'Russia', 'TOPIC': 'Rebels advance'}]"
27,(accuses/Pd.soxx.|f--3s-/en ukraine/Cp.s/en russia/Cp.s/en (of/T/en (reducing/P.o.|pg----/en (+/B.am/. coal/Cc.s/en deliveries/Cc.p/en))) (as/T/en (rise/Pd.s.|f-----/en tensions/Cc.p/en))),Ukraine accuses Russia of reducing coal deliveries as tensions rise,"[{'PRED': ['accuses/Pd.soxx.|f--3s-/en'], 'SOURCE': ['ukraine/Cp.s/en'], 'TARGET': ['russia/Cp.s/en'], 'TOPIC': [['rise/Pd.s.|f-----/en'], ['tensions/Cc.p/en']]}]","[{'PRED': 'accuses', 'SOURCE': 'Ukraine', 'TARGET': 'Russia', 'TOPIC': 'tensions rise'}]"
28,(accuses/Pd.soxx.|f--3s-/en ukraine/Cp.s/en russia/Cp.s/en (of/T/en (undisguised/Ma/en aggression/Cc.s/en)) (as/T/en (advance/Pd.s.|f-----/en rebels/Cc.p/en))),"Ukraine accuses Russia of ""undisguised aggression"" as rebels advance","[{'PRED': ['accuses/Pd.soxx.|f--3s-/en'], 'SOURCE': ['ukraine/Cp.s/en'], 'TARGET': ['russia/Cp.s/en'], 'TOPIC': [['advance/Pd.s.|f-----/en'], ['rebels/Cc.p/en']]}]","[{'PRED': 'accuses', 'SOURCE': 'Ukraine', 'TARGET': 'Russia', 'TOPIC': 'Rebels advance'}]"
29,(beat/P.sor.<f-----/en india/Cp.s/en iran/Cp.s/en ((to/Mi/en win/P.o.-i-----/en) (third/Ma/en (consecutive/Ma/en title/Cc.s/en)))),India beat Iran to win third consecutive title,"[{'PRED': ['beat/P.sor.<f-----/en'], 'SOURCE': ['india/Cp.s/en'], 'TARGET': ['iran/Cp.s/en']}]","[{'PRED': 'beat', 'SOURCE': 'India', 'TARGET': 'Iran'}]"
30,(beat/Pd.sor.<f-----/en india/Cp.s/en england/Cp.s/en ((to/Mi/en win/P.c.-i-----/en) final/Ca/en)),India beat England to win final,"[{'PRED': ['beat/Pd.sor.<f-----/en'], 'SOURCE': ['india/Cp.s/en'], 'TARGET': ['england/Cp.s/en']}]","[{'PRED': 'beat', 'SOURCE': 'India', 'TARGET': 'England'}]"
31,(blames/Pd.so.|f--3s-/en syria/Cp.s/en israel/Cp.s/en),Syria Blames Israel,"[{'PRED': ['blames/Pd.so.|f--3s-/en'], 'SOURCE': ['syria/Cp.s/en'], 'TARGET': ['israel/Cp.s/en']}]","[{'PRED': 'blames', 'SOURCE': 'Syria', 'TARGET': 'Israel'}]"
32,(blames/Pd.sox.|f--3s-/en india/Cp.s/en pakistan/Cp.s/en (as/T/en (kills/Pd.so.|f--3s-/en (+/B.am/. kashmir/Cp.s/en attack/Cc.s/en) (17/M#/en soldiers/Cc.p/en)))),India blames Pakistan as Kashmir attack kills 17 soldiers,"[{'PRED': ['blames/Pd.sox.|f--3s-/en'], 'SOURCE': ['india/Cp.s/en'], 'TARGET': ['pakistan/Cp.s/en'], 'TOPIC': [['kills/Pd.so.|f--3s-/en'], [['+/B.am/.'], ['kashmir/Cp.s/en'], ['attack/Cc.s/en']], [['17/M#/en'], ['soldiers/Cc.p/en']]]}]","[{'PRED': 'blames', 'SOURCE': 'India', 'TARGET': 'Pakistan', 'TOPIC': 'Kashmir attack kills 17 soldiers'}]"
33,(blames/Pd.sox.|f--3s-/en pakistan/Cp.s/en india/Cp.s/en (as/T/en (holds/Pd.sox.|f--3s-/en us/Cp.s/en (back/Ma/en aid/Cc.s/en) (to/T/en islamabad/Cp.s/en)))),Pakistan blames India as US holds back aid to Islamabad,"[{'PRED': ['blames/Pd.sox.|f--3s-/en'], 'SOURCE': ['pakistan/Cp.s/en'], 'TARGET': ['india/Cp.s/en'], 'TOPIC': [['holds/Pd.sox.|f--3s-/en'], ['us/Cp.s/en'], [['back/Ma/en'], ['aid/Cc.s/en']], [['to/T/en'], ['islamabad/Cp.s/en']]]}]","[{'PRED': 'blames', 'SOURCE': 'Pakistan', 'TARGET': 'India', 'TOPIC': 'US holds back aid to Islamabad'}]"
34,(blames/Pd.sox.|f--3s-/en pakistan/Cp.s/en india/Cp.s/en (as/T/en (holds/Pd.sox.|f--3s-/en usa/Cp.s/en (back/Ma/en aid/Cc.s/en) (to/T/en islamabad/Cp.s/en)))),Pakistan blames India as USA holds back aid to Islamabad,"[{'PRED': ['blames/Pd.sox.|f--3s-/en'], 'SOURCE': ['pakistan/Cp.s/en'], 'TARGET': ['india/Cp.s/en'], 'TOPIC': [['holds/Pd.sox.|f--3s-/en'], ['usa/Cp.s/en'], [['back/Ma/en'], ['aid/Cc.s/en']], [['to/T/en'], ['islamabad/Cp.s/en']]]}]","[{'PRED': 'blames', 'SOURCE': 'Pakistan', 'TARGET': 'India', 'TOPIC': 'USA holds back aid to Islamabad'}]"
35,(blames/Pd.soxox.|f--3s-/en iran/Cp.s/en israel/Cp.s/en (for/T/en beirut/Cp.s/en) blasts/Cc.p/en (as/T/en (lays/Pd.so.|f--3s-/en (+/B.am/. (+/B.am/. al/Cp.s/en qaeda/Cp.s/en) offshoot/Cc.s/en) claim/Cc.s/en))),Iran blames Israel for Beirut blasts as Al-Qaeda offshoot lays claim,"[{'PRED': ['blames/Pd.soxox.|f--3s-/en'], 'SOURCE': ['iran/Cp.s/en'], 'TARGET': ['israel/Cp.s/en'], 'TOPIC': [['lays/Pd.so.|f--3s-/en'], [['+/B.am/.'], [['+/B.am/.'], ['al/Cp.s/en'], ['qaeda/Cp.s/en']], ['offshoot/Cc.s/en']], ['claim/Cc.s/en']]}]","[{'PRED': 'blames', 'SOURCE': 'Iran', 'TARGET': 'Israel', 'TOPIC': 'Al-Qaeda offshoot lays claim'}]"
36,(criticize/Pd.ssox.|f-----/en germany/Cp.s/en france/Cp.s/en israel/Cp.s/en (for/T/en (seizing/P.o.|pg----/en (+/B.am/. (+/B.am/. west/Cp.s/en bank/Cp.s/en) land/Cc.s/en)))),"Germany, France criticize Israel for seizing West Bank land","[{'PRED': ['criticize/Pd.ssox.|f-----/en'], 'SOURCE': ['germany/Cp.s/en'], 'TARGET': ['israel/Cp.s/en'], 'TOPIC': [['seizing/P.o.|pg----/en'], [['+/B.am/.'], [['+/B.am/.'], ['west/Cp.s/en'], ['bank/Cp.s/en']], ['land/Cc.s/en']]]}, {'PRED': ['criticize/Pd.ssox.|f-----/en'], 'SOURCE': ['france/Cp.s/en'], 'TARGET': ['israel/Cp.s/en'], 'TOPIC': [['seizing/P.o.|pg----/en'], [['+/B.am/.'], [['+/B.am/.'], ['west/Cp.s/en'], ['bank/Cp.s/en']], ['land/Cc.s/en']]]}]","[{'PRED': 'criticize', 'SOURCE': 'Germany', 'TARGET': 'Israel', 'TOPIC': 'seizing West Bank land'}, {'PRED': 'criticize', 'SOURCE': 'France', 'TARGET': 'Israel', 'TOPIC': 'seizing West Bank land'}]"
37,(criticizes/Pd.sox.|f--3s-/en italy/Cp.s/en europe/Cp.s/en (amid/T/en (deepening/P.o.|pg----/en (migrant/Ma/en crisis/Cc.s/en)))),Italy criticizes Europe amid deepening migrant crisis,"[{'PRED': ['criticizes/Pd.sox.|f--3s-/en'], 'SOURCE': ['italy/Cp.s/en'], 'TARGET': ['europe/Cp.s/en'], 'TOPIC': [['deepening/P.o.|pg----/en'], [['migrant/Ma/en'], ['crisis/Cc.s/en']]]}]","[{'PRED': 'criticizes', 'SOURCE': 'Italy', 'TARGET': 'Europe', 'TOPIC': 'deepening migrant crisis'}]"
38,(defends/Pd.so?o.|f--3s-/en cuba/Cp.s/en russia/Cp.s/en (criticizes/Pd.o.|f--3s-/en (+/B.am/. economic/Cp.s/en sanctions/Cp.p/en)) (in/Br.ma/en ('s/Bp.am/en nato/Cp.s/en expansion/Cc.s/en) (+/B.am/. eastern/Cp.s/en europe/Cp.s/en))),"Cuba Defends Russia, Criticizes Economic Sanctions, NATO's Expansion In Eastern Europe","[{'PRED': ['defends/Pd.so?o.|f--3s-/en'], 'SOURCE': ['cuba/Cp.s/en'], 'TARGET': ['russia/Cp.s/en']}]","[{'PRED': 'Defends', 'SOURCE': 'Cuba', 'TARGET': 'Russia'}]"
39,(deports/Pd.soo.|f--3s-/en indonesia/Cp.s/en chinese/Ca/en (of/Br.ma/en (taiwanese/Ma/en (+/B.am/. cyber/Ca/en gang/Cc.s/en)) 50/C#/en)),"Indonesia deports Chinese, Taiwanese cyber gang of 50","[{'PRED': ['deports/Pd.soo.|f--3s-/en'], 'SOURCE': ['indonesia/Cp.s/en'], 'TARGET': ['chinese/Ca/en']}]","[{'PRED': 'deports', 'SOURCE': 'Indonesia', 'TARGET': 'Chinese'}]"
40,(destroy/Pd.soxx.-i-----/en germany/Cp.s/en brazil/Cp.s/en (-/B/en 7/C#/en 1/C#/en) (as/T/en (becomes/Pd.scx.|f--3s-/en (+/B.am/. miroslav/Cp.s/en klose/Cp.s/en) (the/Md/en (+/B.am/. record/Cc.s/en scorer/Cc.s/en)) (by/T/en (netting/P.o.|pg----/en (in/Br.ma/en (his/Mp/en (16th/Ma/en (finals/M/en goal/Cc.s/en))) (+/B.am/. (+/B.am/. world/Cp.s/en cup/Cp.s/en) history/Cp.s/en))))))),Germany destroy Brazil 7-1 as Miroslav Klose becomes the record scorer by netting his 16th finals goal in World Cup History,"[{'PRED': ['destroy/Pd.soxx.-i-----/en'], 'SOURCE': ['germany/Cp.s/en'], 'TARGET': ['brazil/Cp.s/en'], 'TOPIC': [['becomes/Pd.scx.|f--3s-/en'], [['+/B.am/.'], ['miroslav/Cp.s/en'], ['klose/Cp.s/en']], [['the/Md/en'], [['+/B.am/.'], ['record/Cc.s/en'], ['scorer/Cc.s/en']]], [['by/T/en'], [['netting/P.o.|pg----/en'], [['in/Br.ma/en'], [['his/Mp/en'], [['16th/Ma/en'], [['finals/M/en'], ['goal/Cc.s/en']]]], [['+/B.am/.'], [['+/B.am/.'], ['world/Cp.s/en'], ['cup/Cp.s/en']], ['history/Cp.s/en']]]]]]}]","[{'PRED': 'destroy', 'SOURCE': 'Germany', 'TARGET': 'Brazil', 'TOPIC': 'Miroslav Klose becomes the record scorer by netting his 16th finals goal in World Cup History'}]"
41,(killing/Pd.soo.|pg----/en israel/Cp.s/en (in/Br.ma/en (nuclear/Ma/en scientists/Cc.p/en) mideast/Cp.s/en) iran/Cp.s/en),Israel killing nuclear scientists in Mideast: Iran,"[{'PRED': ['killing/Pd.soo.|pg----/en'], 'SOURCE': ['israel/Cp.s/en'], 'TARGET': ['iran/Cp.s/en']}]","[{'PRED': 'killing', 'SOURCE': 'Israel', 'TARGET': 'Iran'}]"
