,edge,edge_text
10,(accuses/P.sox.|f--3s-/en hungary/Cp.s/en croatia/Cp.s/en (of/T/en (violating/P.ox.|pg----/en (international/Ma/en law/Cc.s/en) (as/T/en (continue/Pd.sr.|f-----/en tensions/Cc.p/en ((to/Mi/en rise/P.x.-i-----/en) (over/T/en (in/Br.ma/en chaos/Cc.s/en (the/Md/en balkans/Cp.p/en))))))))),Hungary accuses Croatia of 'violating international law' as tensions continue to rise over chaos in the Balkans
11,(accuses/P.sox.|f--3s-/en poland/Cp.s/en russians/Cp.p/en (of/T/en ((deliberately/M/en causing/P.o.|pg----/en) (+/B.am/. jet/Cc.s/en crash/Cc.s/en)))),Poland accuses Russians of deliberately causing jet crash
12,(accuses/Pd.?sox.|f--3s-/en (+/B.am/. world/Cp.s/en (+/B.am/. war/Cp.s/en ii/Cp.s/en)) russia/Cp.s/en poland/Cp.s/en (of/T/en (starting/P.o.|pg----/en (the/Md/en (global/Ma/en conflict/Cc.s/en))))),World War II: Russia accuses Poland of starting the global conflict
13,(accuses/Pd.rsox.|f--3s-/en (gain/P.so.|f-----/en (as/Br.ma/en (with/Br.ma/en (afghan/Ma/en ties/Cc.p/en) (+/B.am/. pakistan/Cp.s/en sour/Ca/en)) taliban/Cp.s/en) strength/Cc.s/en) afghanistan/Cp.s/en pakistan/Cp.s/en (of/T/en (meddling/P.x.|pg----/en (in/T/en (its/Mp/en affairs/Cc.p/en))))),Afghan ties with Pakistan sour as Taliban gain strength: Afghanistan accuses Pakistan of meddling in its affairs
14,(accuses/Pd.sox.|f--3s-/en afghanistan/Cp.s/en iran/Cp.s/en (of/T/en (holding/P.o.|pg----/en (21/M#/en (migrant/Ma/en laborers/Cc.p/en))))),Afghanistan accuses Iran of holding 21 migrant laborers
15,(accuses/Pd.sox.|f--3s-/en afghanistan/Cp.s/en iran/Cp.s/en (of/T/en (supporting/P.o.|pg----/en taliban/Cp.s/en))),Afghanistan accuses Iran of supporting Taliban
16,(accuses/Pd.sox.|f--3s-/en afghanistan/Cp.s/en pakistan/Cp.s/en (of/T/en (supporting/P.o.|pg----/en (+/B.am/. taliban/Cp.s/en militants/Cc.p/en)))),Afghanistan accuses Pakistan of supporting Taliban militants
17,(accuses/Pd.sox.|f--3s-/en canada/Cp.s/en china/Cp.s/en (of/T/en (trying/P.r.|pg----/en ((to/Mi/en hack/P.o.-i-----/en) (+/B.am/. government/Cc.s/en network/Cc.s/en))))),Canada accuses China of trying to hack government network
18,(accuses/Pd.sox.|f--3s-/en china/Cp.s/en japan/Cp.s/en (of/T/en (raising/P.ox.|pg----/en tensions/Cc.p/en (after/T/en (says/Pd.sr.|f--3s-/en tokyo/Cp.s/en ((has/Mv.|f--3s-/en increased/P.so.<pf----/en) it/Ci/en (+/B.am/. jet/Cc.s/en scrambles/Cc.p/en))))))),China accuses Japan of raising tensions after Tokyo says it has increased jet scrambles
19,(accuses/Pd.sox.|f--3s-/en china/Cp.s/en japan/Cp.s/en (of/T/en (threatening/P.o.|pg----/en (with/Br.ma/en (+/B.am/. pacific/Cp.s/en peace/Cc.s/en) (military/Ma/en law/Cc.s/en))))),China accuses Japan of threatening Pacific peace with military law
20,(accuses/Pd.sox.|f--3s-/en europe/Cp.s/en russia/Cp.s/en (of/T/en (ignoring/P.o.|pg----/en (on/Jr.ma/en advice/Cp.s/en (fighting/P.o.|pg----/en racism/Cc.s/en))))),Europe Accuses Russia of Ignoring Advice on Fighting Racism
21,(accuses/Pd.sox.|f--3s-/en finland/Cp.s/en russia/Cp.s/en (of/T/en (violating/P.o.|pg----/en (its/Mp/en airspace/Cp.s/en)))),Finland Accuses Russia of Violating Its Airspace
22,(accuses/Pd.sox.|f--3s-/en germany/Cp.s/en france/Cp.s/en (of/T/en (being/P.c.|pg----/en ('s/Bp.am/en europe/Cp.s/en (biggest/Ms/en (+/B.am/. problem/Cc.s/en child/Cc.s/en)))))),Germany accuses France of being 'Europe's biggest problem child
23,(accuses/Pd.sox.|f--3s-/en india/Cp.s/en pakistan/Cp.s/en (of/T/en (being/P.cx.|pg----/en (terrorist/Ma/en state/Cc.s/en) (after/T/en (in/Br.ma/en (17/M#/en die/Cc.s/en) kashmir/Cp.s/en))))),India accuses Pakistan of being 'terrorist state' after 17 die in Kashmir
24,(accuses/Pd.sox.|f--3s-/en iran/Cp.s/en israel/Cp.s/en (of/T/en (being/P.x.|pg----/en (behind/T/en (+/B.am/. beirut/Cp.s/en bombings/Cc.p/en))))),Iran accuses Israel of being behind Beirut bombings
25,(accuses/Pd.sox.|f--3s-/en iran/Cp.s/en israel/Cp.s/en (of/T/en (hiring/P.ox.|pg----/en assassins/Cc.p/en ((out/Ml/en (to/Mi/en take/Pd.o.-i-----/en)) (nuclear/Ma/en scientists/Cc.p/en))))),Iran accuses Israel of hiring assassins to take out nuclear scientists
26,(accuses/Pd.sox.|f--3s-/en iran/Cp.s/en russia/Cp.s/en (of/T/en (giving/P.io.|pg----/en israel/Cp.s/en (for/Br.ma/en codes/Cc.p/en (syrian/Ma/en (+/B.am/. air/Cc.s/en defense/Cc.s/en)))))),Iran accuses Russia of giving Israel codes for Syrian air defense
27,(accuses/Pd.sox.|f--3s-/en iran/Cp.s/en russia/Cp.s/en (of/T/en (giving/P.io.|pg----/en israel/Cp.s/en (for/Br.ma/en codes/Cc.p/en (syrian/Ma/en (+/B.am/. air/Cc.s/en defenses/Cc.p/en)))))),Iran accuses Russia of giving Israel codes for Syrian air defenses
28,(accuses/Pd.sox.|f--3s-/en israel/Cp.s/en britain/Cp.s/en (of/T/en ((secretly/M/en playing/P.o.|pg----/en) (in/Br.ma/en (+/B.am/. lead/Cc.s/en role/Cc.s/en) (on/Br.ma/en (+/B.am/. un/Cp.s/en resolution/Cc.s/en) settlements/Cc.p/en))))),Israel accuses Britain of secretly playing lead role in UN resolution on settlements
29,(accuses/Pd.sox.|f--3s-/en italy/Cp.s/en germany/Cp.s/en (of/T/en (undermining/P.o.|pg----/en (its/Mp/en (+/B.am/. economic/Cp.s/en efforts/Cp.p/en))))),Italy Accuses Germany of Undermining Its Economic Efforts
30,(accuses/Pd.sox.|f--3s-/en moscow/Cp.s/en canada/Cp.s/en (of/T/en ((back/M/en bringing/P.o.|pg----/en) (the/Md/en (+/B.am/. cold/Cp.s/en war/Cp.s/en))))),Moscow accuses Canada of bringing back the Cold War
31,(accuses/Pd.sox.|f--3s-/en moscow/Cp.s/en germany/Cp.s/en (of/T/en ((up/Ml/en hushing/P.o.|pg----/en) ('s/Bp.am/en (russian/Ma/en girl/Cc.s/en) rape/Cc.s/en)))),Moscow accuses Germany of hushing up Russian girl's rape
32,(accuses/Pd.sox.|f--3s-/en moscow/Cp.s/en washington/Cp.s/en (of/T/en (destroying/P.oo.|pg----/en u%2es%2e-russia/Cp.s/en relations/Cc.p/en))),Moscow accuses Washington of destroying U.S.-Russia relations
33,(accuses/Pd.sox.|f--3s-/en russia/Cp.s/en uk/Cp.s/en (of/T/en (delaying/P.o.|pg----/en (for/Br.ma/en visas/Cc.p/en embassy/Cp.s/en)))),Russia accuses UK of delaying visas for Embassy
34,(accuses/Pd.sox.|f--3s-/en russia/Cp.s/en ukraine/Cp.s/en (of/T/en (committing/P.o.|pg----/en (of/Br.ma/en genocide/Cc.s/en (russian/Ma/en speakers/Cc.p/en))))),Russia accuses Ukraine of committing ‘genocide of Russian speakers
35,(accuses/Pd.sox.|f--3s-/en russia/Cp.s/en ukraine/Cp.s/en (of/T/en (trying/P.r.|pg----/en ((to/Mi/en get/P.ox.-i-----/en) saboteurs/Cc.p/en (into/T/en crimea/Cp.s/en))))),Russia accuses Ukraine of trying to get saboteurs into Crimea
36,(accuses/Pd.sox.|f--3s-/en saudi/Cp.s/en iran/Cp.s/en (of/T/en (undermining/P.o.|pg----/en (regional/Ma/en security/Cc.s/en)))),Saudi accuses Iran of undermining regional security
37,(accuses/Pd.sox.|f--3s-/en syria/Cp.s/en israel/Cp.s/en (of/T/en (bombing/P.o.|pg----/en (+/B.am/. damascus/Cp.s/en airport/Cc.s/en)))),Syria accuses Israel of bombing Damascus airport
38,(accuses/Pd.sox.|f--3s-/en taiwan/Cp.s/en china/Cp.s/en (of/T/en (abducting/P.o.|pg----/en (its/Mp/en citizens/Cc.p/en)))),Taiwan accuses China of abducting its citizens
39,(accuses/Pd.sox.|f--3s-/en ukraine/Cp.s/en russia/Cp.s/en (of/T/en ((down/Ml/en shooting/P.o.|pg----/en) (of/Br.ma/en one/C#/en (over/Br.ma/en (its/Mp/en (military/Ma/en aircraft/Cc.s/en)) (ukrainian/Ma/en territory/Cc.s/en)))))),Ukraine accuses Russia of shooting down one of its military aircraft over Ukrainian territory
40,(accuses/Pd.sox.|f--3s-/en ukraine/Cp.s/en russia/Cp.s/en (of/T/en (declaring/P.o.|pg----/en war/Cc.s/en))),Ukraine Accuses Russia Of Declaring War
41,(accuses/Pd.sox.|f--3s-/en ukraine/Cp.s/en russia/Cp.s/en (of/T/en (deploying/P.ox.|pg----/en troops/Cc.p/en (in/T/en crimea/Cp.s/en)))),Ukraine accuses Russia of deploying troops in Crimea
42,(accuses/Pd.sox.|f--3s-/en ukraine/Cp.s/en russia/Cp.s/en (of/T/en (helping/P.r.|pg----/en (destroy/P.o.-i-----/en (in/Br.ma/en evidence/Cc.s/en (+/B.am/. (+/B.aa/. malaysia/Cp.s/en airlines/Cm/en) (+/B.am/. (17/M#/en flight/Cm/en) crash/Cc.s/en))))))),Ukraine accuses Russia of helping destroy evidence in Malaysia Airlines Flight 17 crash
43,(accuses/Pd.sox.|f--3s-/en ukraine/Cp.s/en russia/Cp.s/en (of/T/en (letting/P.r.|pg----/en ((in/Ml/en bring/P.so.-i-----/en) rebels/Cc.p/en tanks/Cc.p/en)))),Ukraine accuses Russia of letting rebels bring in tanks
44,(accuses/Pd.sox.|f--3s-/en ukraine/Cp.s/en russia/Cp.s/en (of/T/en (opening/P.ox.|pg----/en (new/Ma/en (+/B.am/. war/Cc.s/en front/Cc.s/en)) (before/T/en ('/Bp.am/en leaders/Cc.p/en meeting/Cc.s/en))))),Ukraine accuses Russia of opening new war front before leaders' meeting
45,(accuses/Pd.sox.|f--3s-/en ukraine/Cp.s/en russia/Cp.s/en (of/T/en (sending/P.x.|pg----/en (in/T/en tanks/Cc.p/en)))),Ukraine Accuses Russia Of Sending In Tanks
46,(accuses/Pd.sox.|f--3s-/en vietnam/Cp.s/en china/Cp.s/en (of/T/en (attacking/P.o.|pg----/en (its/Mp/en fishermen/Cc.p/en)))),Vietnam Accuses China of Attacking Its Fishermen
47,(accuses/Pd.sox.|f--3s-/en vietnam/Cp.s/en china/Cp.s/en (of/T/en (firing/P.x.|pg----/en (on/T/en (+/B.am/. fishing/Cp.s/en boat/Cp.s/en))))),Vietnam Accuses China of Firing on Fishing Boat
48,(accuses/Pd.sox.|f--3s-/en vietnam/Cp.s/en china/Cp.s/en (of/T/en (ramming/P.o.|pg----/en (its/Mp/en ships/Cc.p/en)))),Vietnam accuses China of ramming its ships
49,(accuses/Pd.sox.|f--3s-/en vietnam/Cp.s/en china/Cp.s/en (of/T/en (threatening/P.o.|pg----/en (regional/Ma/en (+/B.am/. air/Cc.s/en safety/Cc.s/en))))),Vietnam accuses China of threatening regional air safety
50,(accuses/Pd.sox.|f--3s-/en yemen/Cp.s/en iran/Cp.s/en (of/T/en (pursuing/P.o.|pg----/en (its/Mp/en destruction/Cc.s/en)))),Yemen accuses Iran of pursuing its destruction
51,(accuses/Pd.sox?.|f--3s-/en ukraine/Cp.s/en russia/Cp.s/en (of/T/en (sending/P.x.|pg----/en (in/T/en tanks/Cc.p/en))) armor/Cc.s/en),"Ukraine accuses Russia of sending in tanks, armor"
52,(accuses/Pd.soxr.|f--3s-/en ukraine/Cp.s/en russia/Cp.s/en (of/T/en (orchestrating/P.o.|pg----/en (separatist/Ma/en moves/Cc.p/en))) (but/J/en (detained/P.so.<f-----/en police/Cc.p/en (70/M#/en people/Cc.p/en)) ((overnight/M/en occupying/P.o.|pg----/en) (in/Br.ma/en (a/Md/en (regional/Ma/en (+/B.am/. administration/Cc.s/en building/Cc.s/en))) (eastern/Ma/en ukraine/Cp.s/en))))),"Ukraine accuses Russia of orchestrating separatist moves: ""Police detained 70 people occupying a regional administration building in eastern Ukraine overnight, but"
53,(accuses/Pd.soxx.|f--3s-/en britain/Cp.s/en spain/Cp.s/en (of/T/en (violating/P.o.|pg----/en (+/B.am/. gibraltar/Cp.s/en sovereignty/Cc.s/en))) (after/T/en (chase/Pd.s.|f-----/en drugs/Cc.p/en))),Britain accuses Spain of violating Gibraltar sovereignty after drugs chase
54,(accuses/Pd.soxx.|f--3s-/en iran/Cp.s/en saudi/Cp.s/en (of/T/en (promoting/P.o.|pg----/en poverty/Cc.s/en)) terrorism/Cc.s/en),"Iran accuses Saudi of promoting poverty, terrorism"
55,(accuses/Pd.soxx.|f--3s-/en obama/Cp.s/en eu/Cp.s/en (of/T/en (attacking/P.o.|pg----/en (american/Ma/en (+/B.am/. tech/Cc.s/en companies/Cc.p/en)))) (because/T/en (('/Mv.|f-----/en (ca/Mm/en (n't/Mn/en compete/Pd.s.-i-----/en))) it/Ci/en))),Obama accuses EU of attacking American tech companies because it 'ca n't compete
56,(accuses/Pd.soxx.|f--3s-/en ukraine/Cp.s/en russia/Cp.s/en (of/T/en (reducing/P.o.|pg----/en (+/B.am/. coal/Cc.s/en deliveries/Cc.p/en))) (as/T/en (rise/Pd.s.|f-----/en tensions/Cc.p/en))),Ukraine accuses Russia of reducing coal deliveries as tensions rise
57,(accuses/Pd.soxx.|f--3s-/en ukraine/Cp.s/en russia/Cp.s/en (of/T/en (violating/P.o.|pg----/en (its/Mp/en airspace/Cc.s/en))) (allowing/Pd.ox.|pg----/en (across/Br.ma/en weapons/Cc.p/en border/Cc.s/en) (as/T/en (escalates/Pd.s.|f--3s-/en crisis/Cc.s/en)))),"Ukraine accuses Russia of violating its airspace, allowing weapons across border as crisis escalates"
58,(slams/Pd.sox.|f--3s-/en russia/Cp.s/en germany/Cp.s/en (for/T/en (halting/P.o.|pg----/en (+/B.am/. arms/Cc.p/en deal/Cc.s/en)))),Russia slams Germany for halting arms deal
59,(warned/Pd.xsoxx.<f-----/en (in/T/en (an/Md/en (ominous/Ma/en turn/Cc.s/en))) syria/Cp.s/en lebanon/Cp.s/en today/Cc.s/en (against/T/en (continuing/P.r.|pg----/en ((to/Mi/en provide/P.o.-i-----/en) (+/B.mm/. refuge/Cc.s/en (for/Jr.ma/en rebels/Cc.p/en (battling/P.o.|pg----/en (the/Md/en (+/B.am/. assad/Cp.s/en regime/Cc.s/en))))))))),"In an ominous turn, Syria warned Lebanon today against continuing to provide refuge for rebels battling the Assad regime"
60,(warns/Pd.rsox.|f--3s-/en report/Cc.s/en israel/Cp.s/en lebanon/Cp.s/en (against/T/en (responding/P.x.|pg----/en (to/T/en (alleged/Mv.<pf----/en attack/Cc.s/en))))),Report: Israel warns Lebanon against responding to alleged attack
61,(warns/Pd.sox.|f--3s-/en china/Cp.s/en india/Cp.s/en (against/T/en (deploying/P.o.|pg----/en (in/Br.ma/en (+/B.am/. brahmos/Cp.s/en (+/B.am/. cruise/Cc.s/en missile/Cc.s/en)) arunachal/Cp.s/en)))),China warns India against deploying BrahMos cruise missile in Arunachal
62,(warns/Pd.sox.|f--3s-/en china/Cp.s/en japan/Cp.s/en (over/T/en ((abroad/M/en expanding/P.o.|pg----/en) (military/Ma/en role/Cc.s/en)))),China warns Japan over expanding military role abroad
63,(warns/Pd.sox.|f--3s-/en france/Cp.s/en russia/Cp.s/en (against/T/en (meddling/P.x.|pg----/en (in/T/en election/Cc.s/en)))),France warns Russia against meddling in election
64,(warns/Pd.sox.|f--3s-/en germany/Cp.s/en uk/Cp.s/en (over/T/en (leaving/P.o.|pg----/en eu/Cp.s/en))),Germany warns UK over leaving EU
65,(warns/Pd.sox.|f--3s-/en iran/Cp.s/en bahrain/Cp.s/en (over/T/en (revoking/P.o.|pg----/en ('s/Bp.am/en (+/B.am/. shia/Cp.s/en cleric/Cc.s/en) citizenship/Cc.s/en)))),Iran warns Bahrain over revoking Shia cleric's citizenship
66,(warns/Pd.sox.|f--3s-/en obama/Cp.s/en china/Cp.s/en (against/T/en (throwing/P.ox.|pg----/en elbows/Cc.p/en (in/T/en (+/B.am/. sea/Cc.s/en dispute/Cc.s/en))))),Obama warns China against 'throwing elbows' in sea dispute
67,(warns/Pd.sox.|f--3s-/en russia/Cp.s/en finland/Cp.s/en (against/T/en (joining/P.o.|pg----/en nato/Cp.s/en))),Russia warns Finland against joining NATO
68,(warns/Pd.sox.|f--3s-/en russia/Cp.s/en uk/Cp.s/en (against/T/en (arming/P.o.|pg----/en (syrian/Ma/en rebels/Cc.p/en)))),Russia warns UK against arming Syrian rebels
