,edge,edge_text,variables,variables_text
10,((ca/Mm/en (n't/Mn/en say/Pd.so.-i-----/en)) christians/Cp.p/en god/Cp.s/en),Christians can't say 'God,"[{'PRED': [['ca/Mm/en'], [[""n't/Mn/en""], ['say/Pd.so.-i-----/en']]], 'SOURCE': ['christians/Cp.p/en'], 'TARGET': ['god/Cp.s/en']}]","[{'PRED': ""can't say"", 'SOURCE': 'Christians', 'TARGET': 'God'}]"
11,((ca/Mm/en (n't/Mn/en stop/Pd.?so.-i-----/en)) (on/Br.ma/en (+/B.am/. (+/B.am/. philippines/Cp.s/en president/Cp.s/en) duterte/Cp.s/en) (+/B.am/. vigilante/Cp.s/en (+/B.am/. drug/Cc.s/en war/Cc.s/en))) you/Ci/en me/Ci/en),"Philippines President Duterte on vigilante drug war: ""You can't stop me","[{'PRED': [['ca/Mm/en'], [[""n't/Mn/en""], ['stop/Pd.?so.-i-----/en']]], 'SOURCE': ['you/Ci/en'], 'TARGET': ['me/Ci/en']}]","[{'PRED': ""can't stop"", 'SOURCE': 'you', 'TARGET': 'me'}]"
12,((ca/Mm/en (n't/Mn/en tell/P.sor.-i-----/en)) i/Ci/en you/Ci/en ((will/Mm/en last/P.s.-i-----/en) ((how/M/en long/Ma/en) (eastern/Ma/en aleppo/Cp.s/en)))),I can't tell you how long eastern Aleppo will last,"[{'PRED': [['ca/Mm/en'], [[""n't/Mn/en""], ['tell/P.sor.-i-----/en']]], 'SOURCE': ['i/Ci/en'], 'TARGET': ['you/Ci/en']}]","[{'PRED': ""can't tell"", 'SOURCE': 'I', 'TARGET': 'you'}]"
13,((can/Mm/en (not/Mn/en (even/M/en convince/Pd.soo.-i-----/en))) washington/Cp.s/en ally/Cp.s/en japan/Cp.s/en),Washington cannot even convince ally Japan,"[{'PRED': [['can/Mm/en'], [['not/Mn/en'], [['even/M/en'], ['convince/Pd.soo.-i-----/en']]]], 'SOURCE': ['washington/Cp.s/en'], 'TARGET': ['japan/Cp.s/en']}]","[{'PRED': 'cannot even convince', 'SOURCE': 'Washington', 'TARGET': 'Japan'}]"
14,((can/Mm/en spurn/P.so.-i-----/en) turkey/Cp.s/en eu/Cp.s/en),Turkey can spurn EU,"[{'PRED': [['can/Mm/en'], ['spurn/P.so.-i-----/en']], 'SOURCE': ['turkey/Cp.s/en'], 'TARGET': ['eu/Cp.s/en']}]","[{'PRED': 'can spurn', 'SOURCE': 'Turkey', 'TARGET': 'EU'}]"
15,((can/Mm/en sue/P.so.-i-----/en) palestine/Cp.s/en israel/Cp.s/en),Palestine can sue Israel,"[{'PRED': [['can/Mm/en'], ['sue/P.so.-i-----/en']], 'SOURCE': ['palestine/Cp.s/en'], 'TARGET': ['israel/Cp.s/en']}]","[{'PRED': 'can sue', 'SOURCE': 'Palestine', 'TARGET': 'Israel'}]"
16,((can/Mm/en tell/P.sor.-i-----/en) i/Ci/en you/Ci/en (that/Tt/en ((have/Mv.|f-----/en (been/Mv.<pf----/en halted/P.xpxx.<pf----/en)) today/Cc.s/en (by/Br.ma/en (+/B.am/. combat/Cc.s/en operations/Cc.p/en) (the/Md/en (syrian/Ma/en army/Cc.s/en))) (in/T/en (eastern/Ma/en aleppo/Cp.s/en)) (because/T/en ((there/Me/en is/Pd.c?.|f--3s-/en) (underway/Ma/en (a/Md/en (large/Ma/en operation/Cc.s/en))) ((to/Mi/en evacuate/P.o.-i-----/en) civilians/Cc.p/en)))))),"I can tell you that today, combat operations by the Syrian army have been halted in eastern Aleppo because there is a large operation underway to evacuate civilians","[{'PRED': [['can/Mm/en'], ['tell/P.sor.-i-----/en']], 'SOURCE': ['i/Ci/en'], 'TARGET': ['you/Ci/en']}]","[{'PRED': 'can tell', 'SOURCE': 'I', 'TARGET': 'you'}]"
17,((could/Mm/en invade/P.so.-i-----/en) russia/Cp.s/en poland/Cp.s/en),Russia could invade Poland,"[{'PRED': [['could/Mm/en'], ['invade/P.so.-i-----/en']], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['poland/Cp.s/en']}]","[{'PRED': 'could invade', 'SOURCE': 'Russia', 'TARGET': 'Poland'}]"
18,((could/Mm/en invade/P.so.-i-----/en) russia/Cp.s/en ukraine/Cp.s/en),Russia Could Invade Ukraine,"[{'PRED': [['could/Mm/en'], ['invade/P.so.-i-----/en']], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['ukraine/Cp.s/en']}]","[{'PRED': 'could invade', 'SOURCE': 'Russia', 'TARGET': 'Ukraine'}]"
19,((could/Mm/en leave/P.so.-i-----/en) mexico/Cp.s/en nafta/Cp.s/en),Mexico could leave NAFTA,"[{'PRED': [['could/Mm/en'], ['leave/P.so.-i-----/en']], 'SOURCE': ['mexico/Cp.s/en'], 'TARGET': ['nafta/Cp.s/en']}]","[{'PRED': 'could leave', 'SOURCE': 'Mexico', 'TARGET': 'NAFTA'}]"
20,((could/Mm/en leave/P.sox.-i-----/en) uk/Cp.s/en eu/Cp.s/en (if/T/en (insists/Pd.sx.|f--3s-/en (+/B.am/. david/Cp.s/en cameron/Cp.s/en) (on/T/en (migrant/Ma/en quotas/Cc.p/en))))),UK could leave EU if David Cameron insists on migrant quotas,"[{'PRED': [['could/Mm/en'], ['leave/P.sox.-i-----/en']], 'SOURCE': ['uk/Cp.s/en'], 'TARGET': ['eu/Cp.s/en'], 'TOPIC': [['insists/Pd.sx.|f--3s-/en'], [['+/B.am/.'], ['david/Cp.s/en'], ['cameron/Cp.s/en']], [['on/T/en'], [['migrant/Ma/en'], ['quotas/Cc.p/en']]]]}]","[{'PRED': 'Could Leave', 'SOURCE': 'UK', 'TARGET': 'EU', 'TOPIC': 'David Cameron insists on migrant quotas'}]"
21,((did/Mv.<f-----/en (n't/Mn/en punish/Pd.?soxx.-i-----/en)) (+/B.am/. donald/Cp.s/en trump/Cp.s/en) obama/Cp.s/en russia/Cp.s/en (for/T/en (+/B.am/. election/Cc.s/en meddling/Cc.s/en)) (because/T/en (('/Mv.|f-----/en colluded/Pd.s.<pf----/en) he/Ci/en))),Donald Trump: Obama didn't punish Russia for election meddling because he ' colluded,"[{'PRED': [['did/Mv.<f-----/en'], [[""n't/Mn/en""], ['punish/Pd.?soxx.-i-----/en']]], 'SOURCE': ['obama/Cp.s/en'], 'TARGET': ['russia/Cp.s/en'], 'TOPIC': [[[""'/Mv.|f-----/en""], ['colluded/Pd.s.<pf----/en']], ['he/Ci/en']]}]","[{'PRED': ""didn't punish"", 'SOURCE': 'Obama', 'TARGET': 'Russia', 'TOPIC': ""he ' colluded""}]"
22,((do/Mv.|f-----/en (not/Mn/en hate/Pd.so.-i-----/en)) i/Ci/en india/Cp.s/en),I do not hate India,"[{'PRED': [['do/Mv.|f-----/en'], [['not/Mn/en'], ['hate/Pd.so.-i-----/en']]], 'SOURCE': ['i/Ci/en'], 'TARGET': ['india/Cp.s/en']}]","[{'PRED': 'do not hate', 'SOURCE': 'I', 'TARGET': 'India'}]"
23,((do/Mv.|f-----/en (n’t/Mn/en hate/P.so.-i-----/en)) i/Ci/en arabs/Cp.p/en),I don’t hate Arabs,"[{'PRED': [['do/Mv.|f-----/en'], [['n’t/Mn/en'], ['hate/P.so.-i-----/en']]], 'SOURCE': ['i/Ci/en'], 'TARGET': ['arabs/Cp.p/en']}]","[{'PRED': 'don’t hate', 'SOURCE': 'I', 'TARGET': 'Arabs'}]"
24,((do/Mv.|f-----/en (n’t/Mn/en know/Pd.so.-i-----/en)) i/Ci/en putin/Cp.s/en),I don’t know Putin,"[{'PRED': [['do/Mv.|f-----/en'], [['n’t/Mn/en'], ['know/Pd.so.-i-----/en']]], 'SOURCE': ['i/Ci/en'], 'TARGET': ['putin/Cp.s/en']}]","[{'PRED': 'don’t know', 'SOURCE': 'I', 'TARGET': 'Putin'}]"
25,((do/Mv.|f-----/en do/P.?so.-i-----/en) (to/Br.ma/en (+/B.am/. uk/Cp.s/en mp/Cp.s/en) google/Cp.s/en) you/Ci/en evil/Cc.s/en),UK MP to Google: 'you do do evil,"[{'PRED': [['do/Mv.|f-----/en'], ['do/P.?so.-i-----/en']], 'SOURCE': ['you/Ci/en'], 'TARGET': ['evil/Cc.s/en']}]","[{'PRED': 'do do', 'SOURCE': 'you', 'TARGET': 'evil'}]"
26,((do/Mv.|f-----/en do/P.so.-i-----/en) you/Ci/en evil/Cc.s/en),you do do evil,"[{'PRED': [['do/Mv.|f-----/en'], ['do/P.so.-i-----/en']], 'SOURCE': ['you/Ci/en'], 'TARGET': ['evil/Cc.s/en']}]","[{'PRED': 'do do', 'SOURCE': 'you', 'TARGET': 'evil'}]"
27,((does/Mv.|f--3s-/en (n't/Mn/en fight/P.?so.-i-----/en)) (to/Br.ma/en meshal/Cp.s/en (+/B.am/. charlie/Cp.s/en rose/Cp.s/en)) hamas/Cp.s/en jews/Cp.p/en),Meshal to Charlie Rose: Hamas doesn't fight Jews,"[{'PRED': [['does/Mv.|f--3s-/en'], [[""n't/Mn/en""], ['fight/P.?so.-i-----/en']]], 'SOURCE': ['hamas/Cp.s/en'], 'TARGET': ['jews/Cp.p/en']}]","[{'PRED': ""doesn't fight"", 'SOURCE': 'Hamas', 'TARGET': 'Jews'}]"
28,((does/Mv.|f--3s-/en (n't/Mn/en threaten/Pd.sso.-i-----/en)) putin/Cp.s/en (+/B.am/. iran/Cp.s/en (+/B.am/. missiles/Cc.p/en deal/Cc.s/en)) israel/Cp.s/en),Putin: Iran missiles deal doesn't threaten Israel,"[{'PRED': [['does/Mv.|f--3s-/en'], [[""n't/Mn/en""], ['threaten/Pd.sso.-i-----/en']]], 'SOURCE': ['putin/Cp.s/en'], 'TARGET': ['israel/Cp.s/en']}]","[{'PRED': ""doesn't threaten"", 'SOURCE': 'Putin', 'TARGET': 'Israel'}]"
29,((has/Mv.|f--3s-/en accused/Pd.soxx.<pf----/en) china/Cp.s/en japan/Cp.s/en (of/T/en (trying/P.r.|pg----/en ((to/Mi/en smear/P.o.-i-----/en) ('s/Bp.am/en beijing/Cp.s/en image/Cc.s/en)))) (after/T/en (alleged/Pd.sr.<f-----/en tokyo/Cp.s/en (locked/P.soxx.<f-----/en (a/Md/en (chinese/Ma/en warship/Cc.s/en)) (its/Mp/en (+/B.am/. (targeting/Mv.|pg----/en weapons/Cc.p/en) radar/Cc.s/en)) (on/T/en (a/Md/en (japanese/Ma/en vessel/Cc.s/en))) (near/T/en (disputed/Mv.<pf----/en islands/Cc.p/en)))))),"China has accused Japan of trying to ""smear"" Beijing's image, after Tokyo alleged a Chinese warship locked its weapons-targeting radar on a Japanese vessel near disputed islands","[{'PRED': [['has/Mv.|f--3s-/en'], ['accused/Pd.soxx.<pf----/en']], 'SOURCE': ['china/Cp.s/en'], 'TARGET': ['japan/Cp.s/en'], 'TOPIC': [['alleged/Pd.sr.<f-----/en'], ['tokyo/Cp.s/en'], [['locked/P.soxx.<f-----/en'], [['a/Md/en'], [['chinese/Ma/en'], ['warship/Cc.s/en']]], [['its/Mp/en'], [['+/B.am/.'], [['targeting/Mv.|pg----/en'], ['weapons/Cc.p/en']], ['radar/Cc.s/en']]], [['on/T/en'], [['a/Md/en'], [['japanese/Ma/en'], ['vessel/Cc.s/en']]]], [['near/T/en'], [['disputed/Mv.<pf----/en'], ['islands/Cc.p/en']]]]]}]","[{'PRED': 'has accused', 'SOURCE': 'China', 'TARGET': 'Japan', 'TOPIC': 'Tokyo alleged a Chinese warship locked its weapons-targeting radar on a Japanese vessel near disputed islands'}]"
30,((has/Mv.|f--3s-/en attacked/Pd.so.<pf----/en) france/Cp.s/en islam/Cp.s/en),France has attacked Islam,"[{'PRED': [['has/Mv.|f--3s-/en'], ['attacked/Pd.so.<pf----/en']], 'SOURCE': ['france/Cp.s/en'], 'TARGET': ['islam/Cp.s/en']}]","[{'PRED': 'has attacked', 'SOURCE': 'France', 'TARGET': 'Islam'}]"
31,((has/Mv.|f--3s-/en criticized/Pd.rsox.<pf----/en) (reject/P.sso.|f-----/en germany/Cp.s/en eu/Cp.s/en (in/Br.ma/en (+/B.am/. rebel/Ca/en polls/Cc.p/en) (eastern/Ma/en ukraine/Cp.s/en))) germany/Cp.s/en moscow/Cp.s/en (for/T/en (recognizing/P.o.|pg----/en (of/Br.ma/en (the/Md/en results/Cc.p/en) (in/Br.ma/en (the/Md/en elections/Cc.p/en) ((rebel/M/en held/Mv.<pf----/en) (eastern/Ma/en ukraine/Cp.s/en))))))),"Germany, EU reject rebel polls in eastern Ukraine: Germany has criticized Moscow for recognizing the results of the elections in rebel held eastern Ukraine","[{'PRED': [['has/Mv.|f--3s-/en'], ['criticized/Pd.rsox.<pf----/en']], 'SOURCE': ['germany/Cp.s/en'], 'TARGET': ['moscow/Cp.s/en'], 'TOPIC': [['recognizing/P.o.|pg----/en'], [['of/Br.ma/en'], [['the/Md/en'], ['results/Cc.p/en']], [['in/Br.ma/en'], [['the/Md/en'], ['elections/Cc.p/en']], [[['rebel/M/en'], ['held/Mv.<pf----/en']], [['eastern/Ma/en'], ['ukraine/Cp.s/en']]]]]]}]","[{'PRED': 'has criticized', 'SOURCE': 'Germany', 'TARGET': 'Moscow', 'TOPIC': 'recognizing the results of the elections in rebel held eastern Ukraine'}]"
32,((has/Mv.|f--3s-/en criticized/Pd.sox.<pf----/en) wikileaks/Cp.s/en google/Cp.s/en (for/T/en (failing/P.r?.|pg----/en ((to/Mi/en inform/P.ox.-i-----/en) them/Ci/en (about/T/en (+/B.am/. u%2es%2e/Cp.s/en (+/B.am/. search/Cc.s/en warrants/Cc.p/en)))) (issued/P.r.<f-----/en (seeking/P.ox.|pg----/en (and/J/en emails/Cc.p/en (other/Ma/en (personal/Ma/en information/Cc.s/en))) (from/T/en (of/Br.ma/en three/C#/en (its/Mp/en staff/Cc.s/en)))))))),WikiLeaks has criticized Google for failing to inform them about U.S. search warrants issued seeking emails and other personal information from three of its staff,"[{'PRED': [['has/Mv.|f--3s-/en'], ['criticized/Pd.sox.<pf----/en']], 'SOURCE': ['wikileaks/Cp.s/en'], 'TARGET': ['google/Cp.s/en'], 'TOPIC': [['failing/P.r?.|pg----/en'], [[['to/Mi/en'], ['inform/P.ox.-i-----/en']], ['them/Ci/en'], [['about/T/en'], [['+/B.am/.'], ['u%2es%2e/Cp.s/en'], [['+/B.am/.'], ['search/Cc.s/en'], ['warrants/Cc.p/en']]]]], [['issued/P.r.<f-----/en'], [['seeking/P.ox.|pg----/en'], [['and/J/en'], ['emails/Cc.p/en'], [['other/Ma/en'], [['personal/Ma/en'], ['information/Cc.s/en']]]], [['from/T/en'], [['of/Br.ma/en'], ['three/C#/en'], [['its/Mp/en'], ['staff/Cc.s/en']]]]]]]}]","[{'PRED': 'has criticized', 'SOURCE': 'WikiLeaks', 'TARGET': 'Google', 'TOPIC': 'failing to inform them about U.S. search warrants issued seeking emails and other personal information from three of its staff'}]"
33,((has/Mv.|f--3s-/en warned/Pd.sor.<pf----/en) afghanistan/Cp.s/en pakistan/Cp.s/en (that/Tt/en ((will/Mm/en bear/P.sox.-i-----/en) it/Ci/en (of/Br.ma/en (the/Md/en consequences/Cc.p/en) (on/Br.ma/en (more/Mc/en clashes/Cc.p/en) (their/Mp/en (contested/Mv.<pf----/en border/Cc.s/en)))) (erupted/Pd.?sx.<f-----/en (after/Tt/en hours/Cc.p/en) (of/Br.ma/en (a/Md/en (new/Ma/en bout/Cc.s/en)) fighting/Cc.s/en) (between/T/en (the/Md/en neighbors/Cc.p/en)))))),"Afghanistan has warned Pakistan that it will bear the consequences of more clashes on their contested border, hours after a new bout of fighting erupted between the neighbors","[{'PRED': [['has/Mv.|f--3s-/en'], ['warned/Pd.sor.<pf----/en']], 'SOURCE': ['afghanistan/Cp.s/en'], 'TARGET': ['pakistan/Cp.s/en']}]","[{'PRED': 'has warned', 'SOURCE': 'Afghanistan', 'TARGET': 'Pakistan'}]"
34,((has/Mv.|f--3s-/en warned/Pd.sor.<pf----/en) germany/Cp.s/en serbia/Cp.s/en (that/T/en (hang/P.sxx.|f-----/en (its/Mp/en (+/B.am/. eu/Cp.s/en (+/B.am/. accession/Cc.s/en prospects/Cc.p/en))) (on/T/en (a/Md/en result/Cc.s/en)) (in/T/en (on/Br.ma/en (the/Md/en (ongoing/Ma/en negotiations/Cc.p/en)) kosovo/Cp.s/en))))),Germany has warned Serbia that its EU accession prospects hang on a result in the ongoing negotiations on Kosovo,"[{'PRED': [['has/Mv.|f--3s-/en'], ['warned/Pd.sor.<pf----/en']], 'SOURCE': ['germany/Cp.s/en'], 'TARGET': ['serbia/Cp.s/en']}]","[{'PRED': 'has warned', 'SOURCE': 'Germany', 'TARGET': 'Serbia'}]"
35,((has/Mv.|f--3s-/en warned/Pd.sorx.<pf----/en) russia/Cp.s/en turkey/Cp.s/en ((to/Mi/en stop/P.r.-i-----/en) (staging/P.r.|pg----/en ((or/J/en in/T/en (+/B/. near/C/en syria/Cp.s/en)) (called/P.oso.<f-----/en what/Cw/en it/Ci/en (against/Br.ma/en provocations/Cc.p/en (its/Mp/en forces/Cc.p/en)))))) (after/T/en (fired/Pd.soxx.<f-----/en (of/Br.ma/en one/C#/en (its/Mp/en warships/Cc.p/en)) (+/B.am/. warning/Cc.s/en shots/Cc.p/en) (at/T/en (in/Br.ma/en (a/Md/en (turkish/Ma/en vessel/Cc.s/en)) (the/Md/en aegean/Cp.s/en))) ((to/Mi/en avoid/Pd.o.-i-----/en) (a/Md/en collision/Cc.s/en))))),Russia has warned Turkey to stop staging what it called provocations against its forces in or near Syria after one of its warships fired warning shots at a Turkish vessel in the Aegean to avoid a collision,"[{'PRED': [['has/Mv.|f--3s-/en'], ['warned/Pd.sorx.<pf----/en']], 'SOURCE': ['russia/Cp.s/en'], 'TARGET': ['turkey/Cp.s/en'], 'TOPIC': [['fired/Pd.soxx.<f-----/en'], [['of/Br.ma/en'], ['one/C#/en'], [['its/Mp/en'], ['warships/Cc.p/en']]], [['+/B.am/.'], ['warning/Cc.s/en'], ['shots/Cc.p/en']], [['at/T/en'], [['in/Br.ma/en'], [['a/Md/en'], [['turkish/Ma/en'], ['vessel/Cc.s/en']]], [['the/Md/en'], ['aegean/Cp.s/en']]]], [[['to/Mi/en'], ['avoid/Pd.o.-i-----/en']], [['a/Md/en'], ['collision/Cc.s/en']]]]}]","[{'PRED': 'has warned', 'SOURCE': 'Russia', 'TARGET': 'Turkey', 'TOPIC': 'one of its warships fired warning shots at a Turkish vessel in the Aegean to avoid a collision'}]"
36,((is/Mv.|f--3s-/en denouncing/Pd.so.|pg----/en) texas/Cp.s/en mexico/Cp.s/en),Texas is denouncing Mexico,"[{'PRED': [['is/Mv.|f--3s-/en'], ['denouncing/Pd.so.|pg----/en']], 'SOURCE': ['texas/Cp.s/en'], 'TARGET': ['mexico/Cp.s/en']}]","[{'PRED': 'is denouncing', 'SOURCE': 'Texas', 'TARGET': 'Mexico'}]"
37,((is/Mv.|f--3s-/en inciting/P.so?.|pg----/en) abbas/Cp.s/en jihad/Cp.s/en ((has/Mv.|f--3s-/en joined/Pd.ox.<pf----/en) ranks/Cc.p/en (with/T/en is/Cc.s/en))),"Abbas is inciting jihad, has joined ranks with IS","[{'PRED': [['is/Mv.|f--3s-/en'], ['inciting/P.so?.|pg----/en']], 'SOURCE': ['abbas/Cp.s/en'], 'TARGET': ['jihad/Cp.s/en']}]","[{'PRED': 'is inciting', 'SOURCE': 'Abbas', 'TARGET': 'jihad'}]"
38,((is/Mv.|f--3s-/en killing/Pd.so.|pg----/en) gitmo/Cp.s/en me/Ci/en),Gitmo Is Killing Me,"[{'PRED': [['is/Mv.|f--3s-/en'], ['killing/Pd.so.|pg----/en']], 'SOURCE': ['gitmo/Cp.s/en'], 'TARGET': ['me/Ci/en']}]","[{'PRED': 'is Killing', 'SOURCE': 'Gitmo', 'TARGET': 'me'}]"
39,((just/M/en killed/Pd.so.<f-----/en) u/Cp.s/en some1/Cc.s/en),U just killed some1,"[{'PRED': [['just/M/en'], ['killed/Pd.so.<f-----/en']], 'SOURCE': ['u/Cp.s/en'], 'TARGET': ['some1/Cc.s/en']}]","[{'PRED': 'Just Killed', 'SOURCE': 'U', 'TARGET': 'some1'}]"
40,((may/Mm/en ask/P.soo.-i-----/en) iraq/Cp.s/en iran/Cp.s/en (against/Br.ma/en help/Cc.s/en isil/Cp.s/en)),Iraq may ask Iran help against ISIL,"[{'PRED': [['may/Mm/en'], ['ask/P.soo.-i-----/en']], 'SOURCE': ['iraq/Cp.s/en'], 'TARGET': ['iran/Cp.s/en']}]","[{'PRED': 'may ask', 'SOURCE': 'Iraq', 'TARGET': 'Iran'}]"
41,((may/Mm/en denies/P.soooo.|f--3s-/en) theresa/Cp.s/en (social/Ma/en care/Cc.s/en) u/Cc.s/en -/Cc.s/en turn/Cc.s/en),Theresa May denies social care U-turn,"[{'PRED': [['may/Mm/en'], ['denies/P.soooo.|f--3s-/en']], 'SOURCE': ['theresa/Cp.s/en'], 'TARGET': ['u/Cc.s/en']}]","[{'PRED': 'May denies', 'SOURCE': 'Theresa', 'TARGET': 'U'}]"
42,((may/Mm/en invade/P.so.-i-----/en) idf/Cp.s/en gaza/Cp.s/en),IDF may invade Gaza,"[{'PRED': [['may/Mm/en'], ['invade/P.so.-i-----/en']], 'SOURCE': ['idf/Cp.s/en'], 'TARGET': ['gaza/Cp.s/en']}]","[{'PRED': 'may invade', 'SOURCE': 'IDF', 'TARGET': 'Gaza'}]"
43,((may/Mm/en leave/P.so.-i-----/en) musharraf/Cp.s/en country/Cc.s/en),Musharraf may leave country,"[{'PRED': [['may/Mm/en'], ['leave/P.so.-i-----/en']], 'SOURCE': ['musharraf/Cp.s/en'], 'TARGET': ['country/Cc.s/en']}]","[{'PRED': 'may leave', 'SOURCE': 'Musharraf', 'TARGET': 'country'}]"
44,((may/Mm/en sue/P.sox.-i-----/en) korea/Cp.s/en japan/Cp.s/en (for/T/en (mishandling/P.o.|pg----/en radiation/Cc.s/en))),Korea may sue Japan for mishandling [radiation,"[{'PRED': [['may/Mm/en'], ['sue/P.sox.-i-----/en']], 'SOURCE': ['korea/Cp.s/en'], 'TARGET': ['japan/Cp.s/en'], 'TOPIC': [['mishandling/P.o.|pg----/en'], ['radiation/Cc.s/en']]}]","[{'PRED': 'may sue', 'SOURCE': 'Korea', 'TARGET': 'Japan', 'TOPIC': 'mishandling [radiation'}]"
